10/16/15
Module Metrics

Program: PopcornTime_Android
Module Name,Mod #,v(G),ev(G),iv(G),# Lines,Line #
"pct.droid.base.providers.subs.OpenSubsProvider.__Anon_001_.onResponse(long,java.lang.Object)",662,2,1,2,74,48
"YTSProvider.fetchList(java.util.ArrayList,Builder,Filters,Callback)",1660,2,1,2,52,175
BaseVideoPlayerFragment.onPause(),47,2,1,2,20,219
"pct.droid.base.fragments.BaseVideoPlayerFragment.__Anon_002_.onClick(android.content.DialogInterface,int)",625,2,1,2,19,838
PopcornApplication.updateAvailable(java.lang.String),308,2,1,2,19,182
BaseStreamLoadingFragment.onActivityCreated(android.os.Bundle),13,2,1,2,19,99
"BaseVideoPlayerFragment.onNewLayout(org.videolan.libvlc.IVLCVout,int,int,int,int,int,int)",45,2,1,2,16,640
"FormatASS.getColorsForASS(boolean,Style)",180,2,1,2,13,520
"pct.droid.base.updater.PopcornUpdater.__Anon_002_.onFailure(com.squareup.okhttp.Request,java.io.IOException)",677,2,1,2,13,218
Movie.Movie(android.os.Parcel),250,2,1,2,13,42
BaseVideoPlayerFragment.onOptionsItemSelected(android.view.MenuItem),46,2,1,2,12,766
FileUtils.getFileExtension(java.lang.String),170,2,1,2,12,232
FormatSRT.cleanTextForSRT(Caption),186,2,1,2,12,193
FormatVTT.cleanTextForVTT(Caption),193,2,1,2,12,172
pct.droid.base.fragments.BaseVideoPlayerFragment.__Anon_005_.onDeviceReady(com.connectsdk.device.ConnectableDevice),628,2,1,2,11,909
"pct.droid.base.updater.PopcornUpdater.__Anon_004_.onReceive(android.content.Context,android.content.Intent)",681,2,1,2,11,310
StorageUtils.getTotalExternalMemorySize(),1252,2,1,2,11,182
StorageUtils.getAvailableExternalMemorySize(),362,2,1,2,11,167
BeamServer.BeamServer#StaticInitializer#1,115,2,1,2,11,62
"StrokedTextView.setStrokeWidth(int,int)",1276,2,1,2,11,33
"pct.droid.base.providers.media.YTSProvider.__Anon_001_.onFailure(com.squareup.okhttp.Request,java.io.IOException)",1444,2,1,2,10,180
"pct.droid.base.providers.media.EZTVProvider.__Anon_001_.onFailure(com.squareup.okhttp.Request,java.io.IOException)",635,2,1,2,10,141
StringUtils.capWords(java.lang.String),396,2,1,2,10,85
